"Date","Site.ID","Daily.Mean.Pb.Concentration","UNITS","Site.Name","year","month","geometry"
1981-01-10,261630015,0.22,"ug/m3 SC","Southwestern H.S.",1981,1,c(42.3027864681917, -83.1065304278455)
1981-01-22,261630015,0.35,"ug/m3 SC","Southwestern H.S.",1981,1,c(42.3027864681917, -83.1065304278455)
1981-02-03,261630015,0.19,"ug/m3 SC","Southwestern H.S.",1981,2,c(42.3027864681917, -83.1065304278455)
1981-02-15,261630015,0.34,"ug/m3 SC","Southwestern H.S.",1981,2,c(42.3027864681917, -83.1065304278455)
1981-02-27,261630015,0.16,"ug/m3 SC","Southwestern H.S.",1981,2,c(42.3027864681917, -83.1065304278455)
1981-03-23,261630015,0.41,"ug/m3 SC","Southwestern H.S.",1981,3,c(42.3027864681917, -83.1065304278455)
1981-04-04,261630015,0.39,"ug/m3 SC","Southwestern H.S.",1981,4,c(42.3027864681917, -83.1065304278455)
1981-04-16,261630015,0.31,"ug/m3 SC","Southwestern H.S.",1981,4,c(42.3027864681917, -83.1065304278455)
1981-04-28,261630015,0.27,"ug/m3 SC","Southwestern H.S.",1981,4,c(42.3027864681917, -83.1065304278455)
1981-05-10,261630015,0.23,"ug/m3 SC","Southwestern H.S.",1981,5,c(42.3027864681917, -83.1065304278455)
1981-05-22,261630015,0.5,"ug/m3 SC","Southwestern H.S.",1981,5,c(42.3027864681917, -83.1065304278455)
1981-06-03,261630015,0.04,"ug/m3 SC","Southwestern H.S.",1981,6,c(42.3027864681917, -83.1065304278455)
1981-06-15,261630015,0.22,"ug/m3 SC","Southwestern H.S.",1981,6,c(42.3027864681917, -83.1065304278455)
1981-06-27,261630015,0.38,"ug/m3 SC","Southwestern H.S.",1981,6,c(42.3027864681917, -83.1065304278455)
1981-07-09,261630015,0.52,"ug/m3 SC","Southwestern H.S.",1981,7,c(42.3027864681917, -83.1065304278455)
1981-07-21,261630015,0.35,"ug/m3 SC","Southwestern H.S.",1981,7,c(42.3027864681917, -83.1065304278455)
1981-08-02,261630015,0.24,"ug/m3 SC","Southwestern H.S.",1981,8,c(42.3027864681917, -83.1065304278455)
1981-08-14,261630015,0.42,"ug/m3 SC","Southwestern H.S.",1981,8,c(42.3027864681917, -83.1065304278455)
1981-08-26,261630015,0.25,"ug/m3 SC","Southwestern H.S.",1981,8,c(42.3027864681917, -83.1065304278455)
1981-09-07,261630015,0.34,"ug/m3 SC","Southwestern H.S.",1981,9,c(42.3027864681917, -83.1065304278455)
1981-09-19,261630015,0.25,"ug/m3 SC","Southwestern H.S.",1981,9,c(42.3027864681917, -83.1065304278455)
1981-10-01,261630015,0.25,"ug/m3 SC","Southwestern H.S.",1981,10,c(42.3027864681917, -83.1065304278455)
1981-10-13,261630015,0.51,"ug/m3 SC","Southwestern H.S.",1981,10,c(42.3027864681917, -83.1065304278455)
1981-01-10,261630020,0.25,"ug/m3 SC","",1981,1,c(42.334205094, -83.033253075)
1981-01-22,261630020,0.43,"ug/m3 SC","",1981,1,c(42.334205094, -83.033253075)
1981-02-27,261630020,0.32,"ug/m3 SC","",1981,2,c(42.334205094, -83.033253075)
1981-03-11,261630020,0.31,"ug/m3 SC","",1981,3,c(42.334205094, -83.033253075)
1981-03-23,261630020,0.27,"ug/m3 SC","",1981,3,c(42.334205094, -83.033253075)
1981-04-04,261630020,0.15,"ug/m3 SC","",1981,4,c(42.334205094, -83.033253075)
1981-04-16,261630020,0.37,"ug/m3 SC","",1981,4,c(42.334205094, -83.033253075)
1981-04-28,261630020,0.3,"ug/m3 SC","",1981,4,c(42.334205094, -83.033253075)
1981-05-10,261630020,0.19,"ug/m3 SC","",1981,5,c(42.334205094, -83.033253075)
1981-05-22,261630020,0.46,"ug/m3 SC","",1981,5,c(42.334205094, -83.033253075)
1981-06-03,261630020,0.55,"ug/m3 SC","",1981,6,c(42.334205094, -83.033253075)
1981-06-15,261630020,0.32,"ug/m3 SC","",1981,6,c(42.334205094, -83.033253075)
1981-06-27,261630020,0.37,"ug/m3 SC","",1981,6,c(42.334205094, -83.033253075)
1981-07-09,261630020,0.4,"ug/m3 SC","",1981,7,c(42.334205094, -83.033253075)
1981-07-21,261630020,0.16,"ug/m3 SC","",1981,7,c(42.334205094, -83.033253075)
1981-08-02,261630020,0.3,"ug/m3 SC","",1981,8,c(42.334205094, -83.033253075)
1981-08-14,261630020,0.49,"ug/m3 SC","",1981,8,c(42.334205094, -83.033253075)
1981-08-26,261630020,0.35,"ug/m3 SC","",1981,8,c(42.334205094, -83.033253075)
1981-09-07,261630020,0.26,"ug/m3 SC","",1981,9,c(42.334205094, -83.033253075)
1981-09-19,261630020,0.25,"ug/m3 SC","",1981,9,c(42.334205094, -83.033253075)
1981-10-01,261630020,0.25,"ug/m3 SC","",1981,10,c(42.334205094, -83.033253075)
1981-10-13,261630020,0.38,"ug/m3 SC","",1981,10,c(42.334205094, -83.033253075)
1982-01-05,260996001,0.22,"ug/m3 SC","",1982,1,c(42.535035158, -83.067703157)
1982-01-11,260996001,0,"ug/m3 SC","",1982,1,c(42.535035158, -83.067703157)
1982-01-17,260996001,0.41,"ug/m3 SC","",1982,1,c(42.535035158, -83.067703157)
1982-01-23,260996001,0.16,"ug/m3 SC","",1982,1,c(42.535035158, -83.067703157)
1982-01-29,260996001,0.37,"ug/m3 SC","",1982,1,c(42.535035158, -83.067703157)
1982-02-04,260996001,0.34,"ug/m3 SC","",1982,2,c(42.535035158, -83.067703157)
1982-02-10,260996001,0.25,"ug/m3 SC","",1982,2,c(42.535035158, -83.067703157)
